kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_num_transits
10797460,Kepler-227 b,CONFIRMED,0,0,35.80,142
10797460,Kepler-227 c,CONFIRMED,0,0,25.80,25
10854555,Kepler-664 b,CONFIRMED,0,0,40.90,515
10872983,Kepler-228 d,CONFIRMED,0,0,66.50,95
10872983,Kepler-228 c,CONFIRMED,0,0,40.20,240
10872983,Kepler-228 b,CONFIRMED,0,0,15.00,355
10910878,Kepler-229 c,CONFIRMED,0,0,161.90,69
11446443,Kepler-1 b,CONFIRMED,0,0,4304.30,432
10666592,Kepler-2 b,CONFIRMED,0,1,5945.90,611
6922244,Kepler-8 b,CONFIRMED,0,0,1741.50,384
10984090,Kepler-466 c,CONFIRMED,0,0,50.60,352
10526549,Kepler-660 b,CONFIRMED,0,0,87.20,144
10583066,Kepler-661 b,CONFIRMED,0,0,65.40,215
10601284,Kepler-226 c,CONFIRMED,0,0,60.60,247
10601284,Kepler-226 b,CONFIRMED,0,0,28.90,322
10601284,Kepler-226 d,CONFIRMED,0,0,14.10,141
10662202,Kepler-662 b,CONFIRMED,0,0,34.30,62
10682541,Kepler-663 b,CONFIRMED,0,0,28.20,208
11460018,Kepler-671 b,CONFIRMED,0,0,61.80,311
11507101,Kepler-672 b,CONFIRMED,0,0,34.70,37
10910878,Kepler-229 d,CONFIRMED,0,0,51.20,26
10910878,Kepler-229 b,CONFIRMED,0,0,47.10,167
10987985,Kepler-665 b,CONFIRMED,0,0,33.20,65
11018648,Kepler-230 b,CONFIRMED,0,0,80.00,34
11018648,Kepler-230 c,CONFIRMED,0,0,19.10,11
11153539,Kepler-666 b,CONFIRMED,0,0,29.50,238
9579641,Kepler-105 b,CONFIRMED,0,0,166.70,244
11304958,Kepler-667 b,CONFIRMED,0,0,141.10,33
11391957,Kepler-668 b,CONFIRMED,0,0,43.40,127
11403044,Kepler-669 b,CONFIRMED,0,0,128.60,323
11414511,Kepler-670 b,CONFIRMED,0,0,1406.80,474
12110942,Kepler-680 b,CONFIRMED,0,0,35.60,360
12366084,Kepler-232 b,CONFIRMED,0,0,71.10,302
12366084,Kepler-232 c,CONFIRMED,0,0,37.90,109
12404086,Kepler-681 b,CONFIRMED,0,0,48.20,51
8395660,Kepler-106 c,CONFIRMED,0,0,88.40,101
9579641,Kepler-105 c,CONFIRMED,0,0,47.10,181
11754553,Kepler-52 c,CONFIRMED,0,0,28.90,65
11754553,Kepler-52 b,CONFIRMED,0,0,38.70,135
11754553,Kepler-52 d,CONFIRMED,0,0,21.70,27
11812062,Kepler-673 b,CONFIRMED,0,0,345.20,357
11853255,Kepler-674 b,CONFIRMED,0,0,38.90,472
11918099,Kepler-675 b,CONFIRMED,0,0,82.40,578
11923270,Kepler-676 b,CONFIRMED,0,0,71.00,115
