kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss
10797460,Kepler-227 b,CONFIRMED,0,0
10797460,Kepler-227 c,CONFIRMED,0,0
10854555,Kepler-664 b,CONFIRMED,0,0
10872983,Kepler-228 d,CONFIRMED,0,0
10872983,Kepler-228 c,CONFIRMED,0,0
10872983,Kepler-228 b,CONFIRMED,0,0
10910878,Kepler-229 c,CONFIRMED,0,0
11446443,Kepler-1 b,CONFIRMED,0,0
10666592,Kepler-2 b,CONFIRMED,0,1
6922244,Kepler-8 b,CONFIRMED,0,0
10984090,Kepler-466 c,CONFIRMED,0,0
10526549,Kepler-660 b,CONFIRMED,0,0
10583066,Kepler-661 b,CONFIRMED,0,0
10601284,Kepler-226 c,CONFIRMED,0,0
10601284,Kepler-226 b,CONFIRMED,0,0
10601284,Kepler-226 d,CONFIRMED,0,0
10662202,Kepler-662 b,CONFIRMED,0,0
10682541,Kepler-663 b,CONFIRMED,0,0
11460018,Kepler-671 b,CONFIRMED,0,0
11507101,Kepler-672 b,CONFIRMED,0,0
10910878,Kepler-229 d,CONFIRMED,0,0
10910878,Kepler-229 b,CONFIRMED,0,0
10987985,Kepler-665 b,CONFIRMED,0,0
11018648,Kepler-230 b,CONFIRMED,0,0
11018648,Kepler-230 c,CONFIRMED,0,0
11153539,Kepler-666 b,CONFIRMED,0,0
9579641,Kepler-105 b,CONFIRMED,0,0
11304958,Kepler-667 b,CONFIRMED,0,0
11391957,Kepler-668 b,CONFIRMED,0,0
11403044,Kepler-669 b,CONFIRMED,0,0
11414511,Kepler-670 b,CONFIRMED,0,0
12110942,Kepler-680 b,CONFIRMED,0,0
12366084,Kepler-232 b,CONFIRMED,0,0
12366084,Kepler-232 c,CONFIRMED,0,0
12404086,Kepler-681 b,CONFIRMED,0,0
8395660,Kepler-106 c,CONFIRMED,0,0
9579641,Kepler-105 c,CONFIRMED,0,0
11754553,Kepler-52 c,CONFIRMED,0,0
11754553,Kepler-52 b,CONFIRMED,0,0
11754553,Kepler-52 d,CONFIRMED,0,0
11812062,Kepler-673 b,CONFIRMED,0,0
11853255,Kepler-674 b,CONFIRMED,0,0
11918099,Kepler-675 b,CONFIRMED,0,0
11923270,Kepler-676 b,CONFIRMED,0,0
11960862,Kepler-677 b,CONFIRMED,0,0
12020329,Kepler-678 b,CONFIRMED,0,0
12066335,Kepler-231 c,CONFIRMED,0,0
12066335,Kepler-231 b,CONFIRMED,0,0
12070811,Kepler-679 b,CONFIRMED,0,0
8395660,Kepler-106 e,CONFIRMED,0,0
3342970,Kepler-234 b,CONFIRMED,0,0
3342970,Kepler-234 c,CONFIRMED,0,0
12470844,Kepler-233 b,CONFIRMED,0,0
12470844,Kepler-233 c,CONFIRMED,0,0
12644822,Kepler-682 b,CONFIRMED,0,0
2713049,Kepler-683 b,CONFIRMED,0,0
3114167,Kepler-684 b,CONFIRMED,0,0
4139816,Kepler-235 d,CONFIRMED,0,0
4139816,Kepler-235 e,CONFIRMED,0,0
8395660,Kepler-106 d,CONFIRMED,0,0
4139816,Kepler-235 c,CONFIRMED,0,0
4275191,Kepler-688 b,CONFIRMED,0,0
4476123,Kepler-689 b,CONFIRMED,0,0
3351888,Kepler-685 b,CONFIRMED,0,0
3641726,Kepler-1727 b,CONFIRMED,0,0
3832474,Kepler-30 d,CONFIRMED,0,0
8395660,Kepler-106 b,CONFIRMED,0,0
3832474,Kepler-30 c,CONFIRMED,0,0
3832474,Kepler-30 b,CONFIRMED,0,0
3935914,Kepler-686 b,CONFIRMED,0,0
3940418,Kepler-1728 b,CONFIRMED,0,0
4049131,Kepler-687 b,CONFIRMED,0,0
4139816,Kepler-235 b,CONFIRMED,0,0
5358241,Kepler-53 b,CONFIRMED,0,0
10875245,Kepler-107 c,CONFIRMED,0,0
5358241,Kepler-53 d,CONFIRMED,0,0
5358241,Kepler-53 c,CONFIRMED,0,0
5358624,Kepler-428 b,CONFIRMED,0,0
4664847,Kepler-690 b,CONFIRMED,0,0
4725681,Kepler-236 c,CONFIRMED,0,0
4725681,Kepler-236 b,CONFIRMED,0,0
4913852,Kepler-691 b,CONFIRMED,0,0
10875245,Kepler-107 e,CONFIRMED,0,0
5021899,Kepler-692 b,CONFIRMED,0,0
5164255,Kepler-693 b,CONFIRMED,0,0
5252423,Kepler-237 c,CONFIRMED,0,0
5252423,Kepler-237 b,CONFIRMED,0,0
5272878,Kepler-694 b,CONFIRMED,0,0
5651104,Kepler-695 b,CONFIRMED,0,0
5792202,Kepler-27 b,CONFIRMED,0,0
10875245,Kepler-107 d,CONFIRMED,0,0
5792202,Kepler-27 c,CONFIRMED,0,0
5436502,Kepler-238 e,CONFIRMED,0,0
5436502,Kepler-238 d,CONFIRMED,0,0
5436502,Kepler-238 c,CONFIRMED,0,0
5436502,Kepler-238 b,CONFIRMED,0,0
10875245,Kepler-107 b,CONFIRMED,0,0
5436502,Kepler-238 f,CONFIRMED,0,0
5456651,Kepler-239 b,CONFIRMED,0,0
5456651,Kepler-239 c,CONFIRMED,0,0
5531576,Kepler-240 c,CONFIRMED,0,0
5531576,Kepler-240 b,CONFIRMED,0,0
6291653,Kepler-702 b,CONFIRMED,0,0
6392727,Kepler-703 b,CONFIRMED,0,0
6422070,Kepler-704 b,CONFIRMED,0,0
6428700,Kepler-242 b,CONFIRMED,0,0
6428700,Kepler-242 c,CONFIRMED,0,0
5792202,Kepler-27 d,CONFIRMED,0,0
5794379,Kepler-241 b,CONFIRMED,0,0
5794379,Kepler-241 c,CONFIRMED,0,0
5881688,Kepler-696 b,CONFIRMED,0,0
6022556,Kepler-697 b,CONFIRMED,0,0
6032497,Kepler-698 b,CONFIRMED,0,0
6061119,Kepler-699 b,CONFIRMED,0,0
6191521,Kepler-700 b,CONFIRMED,0,0
3531558,Kepler-467 b,CONFIRMED,0,0
6276477,Kepler-701 b,CONFIRMED,0,0
6863998,Kepler-709 b,CONFIRMED,0,0
6948054,Kepler-245 b,CONFIRMED,0,0
6948054,Kepler-245 d,CONFIRMED,0,0
6948054,Kepler-245 c,CONFIRMED,0,0
6435936,Kepler-705 b,CONFIRMED,0,0
6522242,Kepler-706 b,CONFIRMED,0,0
6587280,Kepler-243 b,CONFIRMED,0,0
9471974,Kepler-108 b,CONFIRMED,0,0
6587280,Kepler-243 c,CONFIRMED,0,0
6685526,Kepler-707 b,CONFIRMED,0,0
6784235,Kepler-708 b,CONFIRMED,0,0
6849310,Kepler-244 b,CONFIRMED,0,0
6849310,Kepler-244 d,CONFIRMED,0,0
6849310,Kepler-244 c,CONFIRMED,0,0
9471974,Kepler-108 c,CONFIRMED,0,0
7366258,Kepler-82 b,CONFIRMED,0,0
7366258,Kepler-82 c,CONFIRMED,0,0
7366258,Kepler-82 e,CONFIRMED,0,0
7366258,Kepler-82 d,CONFIRMED,0,0
7373451,Kepler-712 b,CONFIRMED,0,0
6948054,Kepler-245 e,CONFIRMED,0,0
6949607,Kepler-28 b,CONFIRMED,0,0
6949607,Kepler-28 c,CONFIRMED,0,0
7109675,Kepler-46 b,CONFIRMED,0,0
7109675,Kepler-46 d,CONFIRMED,0,0
7118364,Kepler-710 b,CONFIRMED,0,0
7134976,Kepler-246 b,CONFIRMED,0,0
7134976,Kepler-246 c,CONFIRMED,0,0
7135852,Kepler-1729 b,CONFIRMED,0,0
7287995,Kepler-81 b,CONFIRMED,0,0
7287995,Kepler-81 c,CONFIRMED,0,0
7287995,Kepler-81 d,CONFIRMED,0,0
7303253,Kepler-711 b,CONFIRMED,0,0
5094751,Kepler-109 b,CONFIRMED,0,0
7678434,Kepler-716 b,CONFIRMED,0,0
7678434,Kepler-716 c,CONFIRMED,0,0
7685981,Kepler-717 b,CONFIRMED,0,0
7373451,Kepler-712 c,CONFIRMED,0,0
7434875,Kepler-247 c,CONFIRMED,0,0
8349582,Kepler-95 b,CONFIRMED,0,0
7434875,Kepler-247 d,CONFIRMED,0,0
7434875,Kepler-247 b,CONFIRMED,0,0
7455287,Kepler-54 b,CONFIRMED,0,0
7455287,Kepler-54 c,CONFIRMED,0,0
7455287,Kepler-54 d,CONFIRMED,0,0
7458762,Kepler-713 b,CONFIRMED,0,0
757450,Kepler-75 b,CONFIRMED,0,0
7585481,Kepler-714 b,CONFIRMED,0,0
7663691,Kepler-715 b,CONFIRMED,0,0
5812701,Kepler-448 b,CONFIRMED,0,0
8039892,Kepler-719 b,CONFIRMED,0,0
8150320,Kepler-55 d,CONFIRMED,0,0
8150320,Kepler-55 b,CONFIRMED,0,0
11086270,Kepler-110 b,CONFIRMED,0,0
7825899,Kepler-248 c,CONFIRMED,0,0
7825899,Kepler-248 b,CONFIRMED,0,0
7849854,Kepler-718 b,CONFIRMED,0,0
7870390,Kepler-83 b,CONFIRMED,0,0
7870390,Kepler-83 d,CONFIRMED,0,0
5094751,Kepler-109 c,CONFIRMED,0,0
7870390,Kepler-83 c,CONFIRMED,0,0
7907423,Kepler-249 c,CONFIRMED,0,0
7907423,Kepler-249 b,CONFIRMED,0,0
7907423,Kepler-249 d,CONFIRMED,0,0
7938496,Kepler-1730 b,CONFIRMED,0,0
8490993,Kepler-722 b,CONFIRMED,0,0
8490993,Kepler-722 c,CONFIRMED,0,0
8505670,Kepler-252 c,CONFIRMED,0,0
8505670,Kepler-252 b,CONFIRMED,0,0
8544996,Kepler-723 b,CONFIRMED,0,0
8150320,Kepler-55 c,CONFIRMED,0,0
8150320,Kepler-55 e,CONFIRMED,0,0
8150320,Kepler-55 f,CONFIRMED,0,0
8226994,Kepler-250 c,CONFIRMED,0,0
8226994,Kepler-250 d,CONFIRMED,0,0
8226994,Kepler-250 b,CONFIRMED,0,0
8247638,Kepler-251 c,CONFIRMED,0,0
8247638,Kepler-251 d,CONFIRMED,0,0
8247638,Kepler-251 b,CONFIRMED,0,0
11086270,Kepler-110 c,CONFIRMED,0,0
8247638,Kepler-251 e,CONFIRMED,0,0
8255887,Kepler-720 b,CONFIRMED,0,0
8414716,Kepler-721 b,CONFIRMED,0,0
9141746,Kepler-730 b,CONFIRMED,0,0
9166862,Kepler-731 b,CONFIRMED,0,0
11449844,Kepler-468 b,CONFIRMED,0,1
8628973,Kepler-724 b,CONFIRMED,0,0
8672910,Kepler-725 b,CONFIRMED,0,0
8689031,Kepler-726 b,CONFIRMED,0,0
8689373,Kepler-253 c,CONFIRMED,0,0
8689373,Kepler-253 d,CONFIRMED,0,0
8689373,Kepler-253 b,CONFIRMED,0,0
8826878,Kepler-727 b,CONFIRMED,0,0
8883593,Kepler-728 b,CONFIRMED,0,0
9077124,Kepler-729 b,CONFIRMED,0,0
9466668,Kepler-256 c,CONFIRMED,0,0
9466668,Kepler-256 d,CONFIRMED,0,0
9466668,Kepler-256 b,CONFIRMED,0,0
9466668,Kepler-256 e,CONFIRMED,0,0
9479273,Kepler-734 b,CONFIRMED,0,0
8359498,Kepler-77 b,CONFIRMED,0,0
9334289,Kepler-254 b,CONFIRMED,0,0
9334289,Kepler-254 c,CONFIRMED,0,0
9334289,Kepler-254 d,CONFIRMED,0,0
9347899,Kepler-31 b,CONFIRMED,0,0
9347899,Kepler-31 c,CONFIRMED,0,0
9347899,Kepler-31 d,CONFIRMED,0,0
9388479,Kepler-732 b,CONFIRMED,0,0
9388479,Kepler-732 c,CONFIRMED,0,0
11359879,Kepler-15 b,CONFIRMED,0,0
9406990,Kepler-733 b,CONFIRMED,0,0
9415172,Kepler-255 c,CONFIRMED,0,0
9415172,Kepler-255 d,CONFIRMED,0,0
9415172,Kepler-255 b,CONFIRMED,0,0
3231341,Kepler-24 b,CONFIRMED,0,0
3231341,Kepler-24 e,CONFIRMED,0,0
3231341,Kepler-24 d,CONFIRMED,0,0
7626506,Kepler-112 c,CONFIRMED,0,0
10482160,Kepler-1739 b,CONFIRMED,0,0
8559644,Kepler-111 c,CONFIRMED,0,0
3240158,Kepler-769 b,CONFIRMED,0,0
