# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug  5 01:27:36 2022
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%FALSE POSITIVE%')
#
# COLUMN kepid:          KepID
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
#
kepid,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss
10848459,,FALSE POSITIVE,0,1
6721123,,FALSE POSITIVE,0,1
10419211,,FALSE POSITIVE,0,1
10464078,,FALSE POSITIVE,0,1
10480982,,FALSE POSITIVE,0,1
10485250,,FALSE POSITIVE,0,1
10583180,,FALSE POSITIVE,0,1
2306756,,FALSE POSITIVE,0,1
11463211,,FALSE POSITIVE,0,0
11465813,,FALSE POSITIVE,0,1
11493732,,FALSE POSITIVE,0,1
11152159,,FALSE POSITIVE,0,1
11242721,,FALSE POSITIVE,0,1
11442465,,FALSE POSITIVE,0,1
11656840,,FALSE POSITIVE,0,1
11909839,,FALSE POSITIVE,0,1
3120431,,FALSE POSITIVE,0,1
3246984,,FALSE POSITIVE,0,0
12459725,,FALSE POSITIVE,0,0
2440757,,FALSE POSITIVE,0,1
2445129,,FALSE POSITIVE,0,1
3114661,,FALSE POSITIVE,0,1
3554600,,FALSE POSITIVE,1,0
3734868,,FALSE POSITIVE,0,1
3836375,,FALSE POSITIVE,0,0
3838486,,FALSE POSITIVE,0,0
5287983,,FALSE POSITIVE,0,1
4932348,,FALSE POSITIVE,0,1
11913073,,FALSE POSITIVE,0,1
5077629,,FALSE POSITIVE,0,1
5283542,,FALSE POSITIVE,0,0
5649215,,FALSE POSITIVE,0,0
5370302,,FALSE POSITIVE,0,1
5372966,,FALSE POSITIVE,0,1
5376067,,FALSE POSITIVE,0,1
5481416,,FALSE POSITIVE,0,1
5534814,,FALSE POSITIVE,0,1
6267425,,FALSE POSITIVE,0,1
6675056,,FALSE POSITIVE,0,1
6756669,,FALSE POSITIVE,0,1
6862603,,FALSE POSITIVE,0,1
11869052,,FALSE POSITIVE,0,1
7270230,,FALSE POSITIVE,0,1
3247396,,FALSE POSITIVE,0,1
7708215,,FALSE POSITIVE,0,1
7377033,,FALSE POSITIVE,0,1
7552344,,FALSE POSITIVE,0,1
7767559,,FALSE POSITIVE,0,1
8180063,,FALSE POSITIVE,0,0
8256049,,FALSE POSITIVE,0,0
9159275,,FALSE POSITIVE,0,1
9166870,,FALSE POSITIVE,0,0
8605074,,FALSE POSITIVE,0,1
8655354,,FALSE POSITIVE,0,1
8686150,,FALSE POSITIVE,0,1
5897826,Kepler-469 b,FALSE POSITIVE,0,1
9016295,,FALSE POSITIVE,0,1
9097120,,FALSE POSITIVE,0,1
9171801,,FALSE POSITIVE,0,1
9904059,,FALSE POSITIVE,0,1
10485069,,FALSE POSITIVE,1,0
3233043,,FALSE POSITIVE,0,1
6579806,,FALSE POSITIVE,0,1
3560301,,FALSE POSITIVE,1,0
4044005,,FALSE POSITIVE,0,1
5802246,,FALSE POSITIVE,0,1
6066403,,FALSE POSITIVE,0,0
6209637,,FALSE POSITIVE,0,0
5988031,,FALSE POSITIVE,0,0
7684873,,FALSE POSITIVE,0,1
2851100,,FALSE POSITIVE,0,1
3130300,,FALSE POSITIVE,0,0
3228959,,FALSE POSITIVE,1,0
10341913,,FALSE POSITIVE,1,0
10480921,,FALSE POSITIVE,0,0
11673674,,FALSE POSITIVE,0,1
3441784,,FALSE POSITIVE,0,1
5820218,,FALSE POSITIVE,0,0
5876368,,FALSE POSITIVE,0,1
9048161,,FALSE POSITIVE,0,1
3235672,,FALSE POSITIVE,1,0
3120276,,FALSE POSITIVE,0,0
3547091,,FALSE POSITIVE,0,1
3869825,,FALSE POSITIVE,0,1
3655332,,FALSE POSITIVE,0,1
4042026,,FALSE POSITIVE,0,1
3344419,,FALSE POSITIVE,1,0
11192141,,FALSE POSITIVE,0,1
11494130,,FALSE POSITIVE,1,0
5648449,,FALSE POSITIVE,0,1
12167361,,FALSE POSITIVE,0,1
8607720,,FALSE POSITIVE,1,0
1433962,,FALSE POSITIVE,0,1
3337425,,FALSE POSITIVE,0,0
3865567,,FALSE POSITIVE,0,1
3544689,,FALSE POSITIVE,0,1
4037164,,FALSE POSITIVE,0,1
3443790,,FALSE POSITIVE,0,1
3966912,,FALSE POSITIVE,0,1
11607193,,FALSE POSITIVE,0,0
10227501,,FALSE POSITIVE,0,0
6032981,,FALSE POSITIVE,1,0
5866099,,FALSE POSITIVE,0,1
5964985,,FALSE POSITIVE,0,0
6066416,,FALSE POSITIVE,0,0
1996679,,FALSE POSITIVE,0,1
3003992,,FALSE POSITIVE,0,0
10743597,,FALSE POSITIVE,0,0
10743597,,FALSE POSITIVE,0,0
6124941,,FALSE POSITIVE,0,0
3003992,,FALSE POSITIVE,0,0
6307537,,FALSE POSITIVE,0,1
6359798,,FALSE POSITIVE,0,1
6311681,,FALSE POSITIVE,0,1
6365321,,FALSE POSITIVE,0,1
6301035,,FALSE POSITIVE,0,1
3557493,,FALSE POSITIVE,0,0
10015516,,FALSE POSITIVE,0,0
5130369,,FALSE POSITIVE,0,1
6147122,,FALSE POSITIVE,0,1
8257407,,FALSE POSITIVE,0,1
8218274,,FALSE POSITIVE,0,1
3964562,,FALSE POSITIVE,0,1
6292162,,FALSE POSITIVE,0,1
6307521,,FALSE POSITIVE,0,1
3848972,,FALSE POSITIVE,0,1
3860441,,FALSE POSITIVE,0,0
3765771,,FALSE POSITIVE,0,1
3557341,,FALSE POSITIVE,1,0
3858949,,FALSE POSITIVE,0,1
3858824,,FALSE POSITIVE,0,1
2157247,,FALSE POSITIVE,0,0
7601633,,FALSE POSITIVE,0,1
8242681,,FALSE POSITIVE,0,1
8246781,,FALSE POSITIVE,0,1
8264070,,FALSE POSITIVE,0,1
8279765,,FALSE POSITIVE,0,1
8330548,,FALSE POSITIVE,0,0
3348082,,FALSE POSITIVE,0,0
3853673,,FALSE POSITIVE,0,1
1432214,,FALSE POSITIVE,0,1
2441728,,FALSE POSITIVE,0,0
8374494,,FALSE POSITIVE,0,1
8414907,,FALSE POSITIVE,1,0
8414907,,FALSE POSITIVE,1,0
8397446,,FALSE POSITIVE,1,0
8386035,,FALSE POSITIVE,1,0
2438502,,FALSE POSITIVE,0,1
2309585,,FALSE POSITIVE,0,1
8244190,,FALSE POSITIVE,0,0
8262210,,FALSE POSITIVE,0,1
10232123,,FALSE POSITIVE,0,0
10223616,,FALSE POSITIVE,1,0
8415745,,FALSE POSITIVE,0,1
8378634,,FALSE POSITIVE,0,1
8397675,,FALSE POSITIVE,0,1
8312852,,FALSE POSITIVE,0,0
5738346,,FALSE POSITIVE,0,1
1722276,,FALSE POSITIVE,1,0
892772,,FALSE POSITIVE,0,0
1027438,,FALSE POSITIVE,1,0
10268907,,FALSE POSITIVE,0,0
10153827,,FALSE POSITIVE,0,0
8302450,,FALSE POSITIVE,0,0
8299955,,FALSE POSITIVE,0,0
9595686,,FALSE POSITIVE,0,1
9661877,,FALSE POSITIVE,0,1
5728283,,FALSE POSITIVE,0,1
8127639,,FALSE POSITIVE,0,0
6047498,,FALSE POSITIVE,0,1
10158990,,FALSE POSITIVE,0,1
8349405,,FALSE POSITIVE,1,0
5297298,,FALSE POSITIVE,0,1
8176653,,FALSE POSITIVE,0,0
8183911,,FALSE POSITIVE,0,0
8179973,,FALSE POSITIVE,1,0
4649305,,FALSE POSITIVE,0,1
10148521,,FALSE POSITIVE,0,0
3124412,,FALSE POSITIVE,0,1
10287248,,FALSE POSITIVE,0,1
10351767,,FALSE POSITIVE,1,0
10342041,,FALSE POSITIVE,0,0
10514770,,FALSE POSITIVE,0,1
2309719,,FALSE POSITIVE,0,1
2558363,,FALSE POSITIVE,0,0
2445154,,FALSE POSITIVE,0,0
3113266,,FALSE POSITIVE,0,1
3232859,,FALSE POSITIVE,0,1
3098184,,FALSE POSITIVE,0,1
2720309,,FALSE POSITIVE,0,0
10342065,,FALSE POSITIVE,0,0
10352945,,FALSE POSITIVE,0,0
2574201,,FALSE POSITIVE,0,1
