kepid,kepler_name,koi_disposition,koi_period,koi_time0bk
10797460,Kepler-227 b,CONFIRMED,9.488035570,170.5387500
10797460,Kepler-227 c,CONFIRMED,54.418382700,162.5138400
10811496,,CANDIDATE,19.899139950,175.8502520
10848459,,FALSE POSITIVE,1.736952453,170.3075650
10854555,Kepler-664 b,CONFIRMED,2.525591777,171.5955500
10872983,Kepler-228 d,CONFIRMED,11.094320540,171.2011600
10872983,Kepler-228 c,CONFIRMED,4.134435120,172.9793700
10872983,Kepler-228 b,CONFIRMED,2.566588970,179.5543700
6721123,,FALSE POSITIVE,7.361789580,132.2505300
10910878,Kepler-229 c,CONFIRMED,16.068646740,173.6219370
11446443,Kepler-1 b,CONFIRMED,2.470613377,122.7633050
10666592,Kepler-2 b,CONFIRMED,2.204735417,121.3585417
6922244,Kepler-8 b,CONFIRMED,3.522498429,121.1194228
10984090,Kepler-466 c,CONFIRMED,3.709214104,133.9831800
10419211,,FALSE POSITIVE,11.521446064,170.8396880
10464078,,FALSE POSITIVE,19.403937760,172.4842530
10480982,,FALSE POSITIVE,19.221388942,184.5521637
10485250,,FALSE POSITIVE,16.469837740,180.8817610
10526549,Kepler-660 b,CONFIRMED,9.273581730,173.2581550
10583066,Kepler-661 b,CONFIRMED,6.029303290,171.6029590
10583180,,FALSE POSITIVE,2.696370652,170.7376900
10601284,Kepler-226 c,CONFIRMED,5.349553819,171.8069400
10601284,Kepler-226 b,CONFIRMED,3.941052210,136.0866200
10601284,Kepler-226 d,CONFIRMED,8.109048070,132.8031000
2306756,,FALSE POSITIVE,386.603052800,166.3420790
10662202,Kepler-662 b,CONFIRMED,21.676991930,171.5359400
10682541,Kepler-663 b,CONFIRMED,4.996779680,171.7420800
11460018,Kepler-671 b,CONFIRMED,4.280963604,171.8965900
11463211,,FALSE POSITIVE,1.506354090,170.9980640
11465813,,FALSE POSITIVE,670.645531000,209.0435500
11493732,,FALSE POSITIVE,61.256362800,173.8382600
11507101,Kepler-672 b,CONFIRMED,38.377548600,172.8204800
10910878,Kepler-229 d,CONFIRMED,41.197255020,165.0040400
10910878,Kepler-229 b,CONFIRMED,6.252962249,171.3012600
10987985,Kepler-665 b,CONFIRMED,16.013084190,176.3608000
11018648,Kepler-230 b,CONFIRMED,32.628766720,194.1019000
11018648,Kepler-230 c,CONFIRMED,91.773286200,193.8378000
11138155,,CANDIDATE,4.959319244,172.2585292
11152159,,FALSE POSITIVE,2.701287801,170.6957900
11153539,Kepler-666 b,CONFIRMED,4.498765110,171.3490500
11242721,,FALSE POSITIVE,19.651209505,179.4019810
9579641,Kepler-105 b,CONFIRMED,5.412203927,133.1430890
11304958,Kepler-667 b,CONFIRMED,41.439586620,208.9320300
11391957,Kepler-668 b,CONFIRMED,8.353895230,171.6325700
11403044,Kepler-669 b,CONFIRMED,4.125543472,169.7525850
11414511,Kepler-670 b,CONFIRMED,2.816504904,170.9676846
11442465,,FALSE POSITIVE,33.933734470,186.6760800
12110942,Kepler-680 b,CONFIRMED,3.689920099,170.3657100
12366084,Kepler-232 b,CONFIRMED,4.431238488,171.0150000
12366084,Kepler-232 c,CONFIRMED,11.379369860,133.8499200
12404086,Kepler-681 b,CONFIRMED,26.394328970,176.0545900
8395660,Kepler-106 c,CONFIRMED,13.570782810,136.2791940
9579641,Kepler-105 c,CONFIRMED,7.125943870,139.0049200
11656840,,FALSE POSITIVE,7.442652004,169.9717797
11754553,Kepler-52 c,CONFIRMED,16.384899880,172.7278200
11754553,Kepler-52 b,CONFIRMED,7.877416300,176.3759000
11754553,Kepler-52 d,CONFIRMED,36.445400100,151.6012500
11812062,Kepler-673 b,CONFIRMED,3.728732147,171.7932550
11818800,,CANDIDATE,40.419503700,173.5646900
11853255,Kepler-674 b,CONFIRMED,2.243380573,170.6792330
11909839,,FALSE POSITIVE,10.405998015,177.1974660
11918099,Kepler-675 b,CONFIRMED,2.337437946,171.7619820
11918099,,CANDIDATE,7.240661200,137.7554500
9579641,,CANDIDATE,3.435916310,132.6624000
11923270,Kepler-676 b,CONFIRMED,11.598222330,180.3953760
11960862,Kepler-677 b,CONFIRMED,6.575315881,173.6340440
12020329,Kepler-678 b,CONFIRMED,7.275040844,169.9942170
12066335,Kepler-231 c,CONFIRMED,19.271538920,186.7709300
12066335,Kepler-231 b,CONFIRMED,10.065243170,136.2890600
12070811,Kepler-679 b,CONFIRMED,12.393565100,178.7472500
8395660,Kepler-106 e,CONFIRMED,43.844397210,151.9353800
3120431,,FALSE POSITIVE,3.341913228,171.6394300
3246984,,FALSE POSITIVE,1.626630225,169.8201710
3342970,Kepler-234 b,CONFIRMED,2.711504086,170.0341700
3342970,Kepler-234 c,CONFIRMED,7.212037480,172.8178200
12459725,,FALSE POSITIVE,14.179818700,171.5023700
12470844,Kepler-233 b,CONFIRMED,8.472379110,174.1621200
12470844,Kepler-233 c,CONFIRMED,60.418936900,181.1636700
12644822,Kepler-682 b,CONFIRMED,12.611904345,180.8922840
